Date,Targeted,Begging,Factory,City,ID
1800 - October 20,0,0,0,Glasgow,1
1812 - November,0,0,0,Glasgow,2
1816 - August 1 & 2,0,0,0,Glasgow,3
1817 - January 6,1,0,0,Glasgow,4
1817 - September,0,0,0,Glasgow,5
1819 - August,0,0,0,Glasgow,6
1820 - April 1 to 8,NA,0,1,Glasgow,7
1820 - June 28,0,0,0,Glasgow,8
1820 - November 14 & 15,1,0,0,Glasgow,9
1821 - April 23,0,0,0,Glasgow,10
1821 - July 12,0,0,0,Glasgow,11
1822 - February 16,0,0,0,Glasgow,12
1822 - July 12,0,0,0,Glasgow,13
1823 - September 9,1,0,0,Glasgow,14
1824 - July 28,0,0,0,Glasgow,15
1829 - February 21,0,0,0,Glasgow,16
1830 - June 5 & 6,0,0,0,Glasgow,17
1842 - October,0,0,0,Glasgow,18
1844 - April 17,0,0,0,Glasgow,19
1844 - August 8 & 9,0,0,0,Glasgow,20
1845 - June 14,0,0,0,Glasgow,21
1845 - August 10,0,0,0,Glasgow,22
1846 - February 16,0,0,0,Glasgow,23
1846 - May 24 to 26,0,0,0,Glasgow,24
1846 - June 2,1,0,0,Glasgow,25
1846 - August 30,0,0,0,Glasgow,26
1847 - July 30,1,0,0,Glasgow,27
1848 - March 6 & 7,0,0,1,Glasgow,28
1848 - June 3 & 4,0,0,0,Glasgow,29
1849 - September 24,0,0,0,Glasgow,30
1849 - November 18,0,0,0,Glasgow,31
1850 - April 2,0,0,0,Glasgow,32
1853 - July 18,0,0,0,Glasgow,33
1855 - July 6,0,0,0,Glasgow,34
1856 - March 3,0,0,0,Glasgow,35
1857 - May 11,0,0,0,Glasgow,36
1860 - June 2,0,0,0,Glasgow,37
1860 - June 8,0,0,0,Glasgow,38
1861 - March 4,1,0,0,Glasgow,39
1862 - June 9,0,0,0,Glasgow,40
1864 - August 1,0,0,0,Glasgow,41
1868 - September,0,0,0,Glasgow,42
1868 - October/November,0,0,0,Glasgow,43
1869 - August 7 & 8,0,0,0,Glasgow,44
1870 - October 2,0,0,0,Glasgow,45
1870 - November 6,1,0,0,Glasgow,46
1874 - July 11 & 12,0,0,0,Glasgow,47
1875 - August 7 & 8,0,0,0,Glasgow,48
1875 - September 11,0,0,0,Glasgow,49
1877 - March 9,0,0,0,Glasgow,50
1877 - July 20 & 23,0,0,0,Glasgow,51
1878 - March 23,0,0,0,Glasgow,52
1878 - April 10,0,0,0,Glasgow,53
1878 - April 13 & 14,0,0,0,Glasgow,54
1879 - March 22,0,0,0,Glasgow,55
1879 - August 2,0,0,0,Glasgow,56
1879 - August 23,0,0,0,Glasgow,57
1879 - October 1,0,0,0,Glasgow,58
1879 - November 8,0,0,0,Glasgow,59
1880 - August 7,0,0,0,Glasgow,60
1880 - August 14,0,0,0,Glasgow,61
1881 - May 14,0,0,0,Glasgow,62
1882 - January 18,0,0,0,Glasgow,63
1886 - April 11,0,0,0,Glasgow,64
1888 - September 17,0,0,0,Glasgow,65
1889 - June 17,1,0,0,Glasgow,66
1889 - November 21,0,0,0,Glasgow,67
1890 - July 26,0,0,0,Glasgow,68
1890 - December 29 & 30,0,0,0,Glasgow,69
1894 - August 22,1,0,0,Glasgow,70
1894 - October 15 & 16,1,0,0,Glasgow,71
1896 - August 22,0,0,0,Glasgow,72
1896 - September 30,0,0,0,Glasgow,73
1908 - September 6,0,0,0,Glasgow,74
1909 - February 17,0,0,0,Glasgow,75
1909 - April 17,0,0,0,Glasgow,76
1909 - November 11,0,0,0,Glasgow,77
1911 - July 3 & 4,0,0,1,Glasgow,78
1911 - August 12 & 13,0,0,0,Glasgow,79
1912 - February 8 & 9,0,0,0,Glasgow,80
1914 - March 9,0,0,0,Glasgow,81
1916 - September 10,0,0,0,Glasgow,82
1919 - January 23,0,0,0,Glasgow,83
1919 - January 31,0,0,0,Glasgow,84
1920 - April 27,0,0,0,Glasgow,85
1920 - May 29,0,0,0,Glasgow,86
1922 - September 13,1,0,0,Glasgow,87
1922 - September 20,0,0,0,Glasgow,88
1925 - May 16,0,0,0,Glasgow,89
1925 - July 11,0,0,0,Glasgow,90
1926 - May 5 to 10,0,0,0,Glasgow,91
1926 - July 10,0,0,0,Glasgow,92
1927 - October 8,0,0,0,Glasgow,93
1928 - March 3,0,0,0,Glasgow,94
1928 - July 7,0,0,0,Glasgow,95
1929 - January 8,0,0,0,Glasgow,96
1930 - April 16,0,0,0,Glasgow,97
1930 - June 8,0,0,0,Glasgow,98
1931 - September 20,0,0,0,Glasgow,99
1931 - October 1 & 2,0,0,0,Glasgow,100
1932 - January 18,0,0,0,Glasgow,101
1932 - April 23-25th,1,0,0,Glasgow,102
1932 - December 22,0,0,0,Glasgow,103
1933 - April 30,0,0,0,Glasgow,104
1933 - May 7,0,0,0,Glasgow,105
1934 - March 3,0,0,0,Glasgow,106
1934 - March 3,0,0,0,Glasgow,107
1934 - May 26 & 27,0,0,0,Glasgow,108
1934 - May 26 & 27,0,0,0,Glasgow,109
1934 - December 22,0,0,0,Glasgow,110
1935 - May 4,0,0,0,Glasgow,111
1935 - July 8,0,0,0,Glasgow,112
1938 - March,0,0,0,Glasgow,113
1939 - July,0,0,0,Glasgow,114
1802 - July 12,0,0,0,Liverpool,1
1809 - June 27 & 28,1,0,0,Liverpool,2
1809 - July 4,0,0,0,Liverpool,3
1810 - May,0,0,0,Liverpool,4
1810 - July,0,0,0,Liverpool,5
1815 - April,0,0,0,Liverpool,6
1816 - June,0,0,0,Liverpool,7
1819 - February 22 & 23,0,0,0,Liverpool,8
1819 - July 12,0,0,0,Liverpool,9
1820 - July 12,0,0,0,Liverpool,10
1822 - July 12,0,0,0,Liverpool,11
1824 - July 1,0,0,0,Liverpool,12
1824 - December 13 & 15,1,0,0,Liverpool,13
