"","Years","Glasgow","Liverpool","Manchester","Total"
"1","1800",1,0,0,1
"2","1801",0,0,0,0
"3","1802",0,1,0,1
"4","1803",0,0,0,0
"5","1804",0,0,0,0
"6","1805",0,0,0,0
"7","1806",0,0,0,0
"8","1807",0,0,1,1
"9","1808",0,0,1,1
"10","1809",0,2,0,2
"11","1810",0,2,0,2
"12","1811",0,0,0,0
"13","1812",1,0,1,2
"14","1813",0,0,0,0
"15","1814",0,0,0,0
"16","1815",0,1,0,1
"17","1816",1,1,0,2
"18","1817",2,0,0,2
"19","1818",0,0,3,3
"20","1819",1,2,3,6
"21","1820",3,1,0,4
"22","1821",2,0,0,2
"23","1822",2,1,0,3
"24","1823",1,0,1,2
"25","1824",1,2,0,3
"26","1825",0,0,2,2
"27","1826",0,1,4,5
"28","1827",0,0,1,1
"29","1828",0,0,3,3
"30","1829",1,1,8,10
"31","1830",1,0,8,9
"32","1831",0,1,2,3
"33","1832",0,1,4,5
"34","1833",0,0,0,0
"35","1834",0,0,1,1
"36","1835",0,1,2,3
"37","1836",0,0,0,0
"38","1837",0,3,3,6
"39","1838",0,0,1,1
"40","1839",0,3,1,4
"41","1840",0,1,1,2
"42","1841",0,3,2,5
"43","1842",1,2,4,7
"44","1843",0,3,2,5
"45","1844",2,0,2,4
"46","1845",2,4,0,6
"47","1846",4,0,1,5
"48","1847",1,1,2,4
"49","1848",2,1,3,6
"50","1849",2,1,1,4
"51","1850",1,4,1,6
"52","1851",0,5,2,7
"53","1852",0,11,1,12
"54","1853",1,2,2,5
"55","1854",0,4,3,7
"56","1855",1,1,0,2
"57","1856",1,0,0,1
"58","1857",1,1,2,4
"59","1858",0,2,1,3
"60","1859",0,3,1,4
"61","1860",2,1,0,3
"62","1861",1,0,0,1
"63","1862",1,1,0,2
"64","1863",0,1,1,2
"65","1864",1,0,0,1
"66","1865",0,0,0,0
"67","1866",0,1,0,1
"68","1867",0,2,1,3
"69","1868",2,2,5,9
"70","1869",1,1,1,3
"71","1870",2,1,1,4
"72","1871",0,0,0,0
"73","1872",0,1,0,1
"74","1873",0,1,0,1
"75","1874",1,0,1,2
"76","1875",2,1,0,3
"77","1876",0,0,3,3
"78","1877",2,2,0,4
"79","1878",3,2,1,6
"80","1879",5,3,1,9
"81","1880",2,1,2,5
"82","1881",1,0,0,1
"83","1882",1,4,2,7
"84","1883",0,2,2,4
"85","1884",0,0,5,5
"86","1885",0,0,1,1
"87","1886",1,7,3,11
"88","1887",0,4,0,4
"89","1888",1,0,3,4
"90","1889",2,2,1,5
"91","1890",2,0,3,5
"92","1891",0,0,1,1
"93","1892",0,2,1,3
"94","1893",0,0,0,0
"95","1894",2,0,0,2
"96","1895",0,0,1,1
"97","1896",2,0,0,2
"98","1897",0,0,0,0
"99","1898",0,1,0,1
"100","1899",0,0,0,0
"101","1900",0,0,0,0
"102","1901",0,3,0,3
"103","1902",0,6,0,6
"104","1903",0,3,0,3
"105","1904",0,2,1,3
"106","1905",0,1,1,2
"107","1906",0,0,0,0
"108","1907",0,0,0,0
"109","1908",1,0,3,4
"110","1909",3,2,1,6
"111","1910",0,7,0,7
"112","1911",2,9,1,12
"113","1912",1,1,1,3
"114","1913",0,0,0,0
"115","1914",1,0,0,1
"116","1915",0,1,1,2
"117","1916",1,0,0,1
"118","1917",0,0,0,0
"119","1918",0,0,0,0
"120","1919",2,2,2,6
"121","1920",2,0,0,2
"122","1921",0,1,1,2
"123","1922",2,0,0,2
"124","1923",0,0,0,0
"125","1924",0,0,0,0
"126","1925",2,0,0,2
"127","1926",2,0,0,2
"128","1927",1,0,0,1
"129","1928",2,0,0,2
"130","1929",1,1,0,2
"131","1930",2,0,1,3
"132","1931",2,1,2,5
"133","1932",3,3,0,6
"134","1933",2,0,0,2
"135","1934",5,0,1,6
"136","1935",2,2,0,4
"137","1936",0,1,1,2
"138","1937",0,0,0,0
"139","1938",1,0,0,1
"140","1939",1,0,0,1
